#      time         order        room_phae1   room_phaer
  0.000000000       1.0000      1.00000E-03   45.000    
 0.4000000000       1.0000      1.00000E-03   45.000    
 0.8000000000       1.0000      1.00000E-03   45.000    
 0.9999999986       1.0000      1.00000E-03   45.000    
  1.000000001       1.0000      1.00000E-03   45.000    
  1.320000001       1.0000      1.00000E-03   45.000    
  1.640000001       1.0000      1.00000E-03   45.000    
  1.999999999       1.0000      1.00000E-03   45.000    
  2.000000001       1.0000      1.00000E-03   45.000    
  2.256000001       1.0000      1.00000E-03   45.000    
  2.512000001       1.0000      1.00000E-03   45.000    
  2.999999999       1.0000      1.00000E-03   45.000    
  3.000000001       1.0000      1.00000E-03   45.000    
  3.204800001       1.0000      1.00000E-03   45.000    
  3.409600001       1.0000      1.00000E-03   45.000    
  3.819200001       1.0000      1.00000E-03   45.000    
  3.999999999       1.0000      1.00000E-03   45.000    
  4.000000001       1.0000      1.00000E-03   45.000    
  4.327680001       1.0000      1.00000E-03   45.000    
  4.655360001       1.0000      1.00000E-03   45.000    
  4.999999999       1.0000      1.00000E-03   45.000    
  5.000000001       1.0000      1.00000E-03   45.000    
  5.038365838       1.0000      1.00000E-03   45.000    
  5.076731675       1.0000      1.00000E-03   45.000    
  5.104449597       1.0000      1.00000E-03   45.000    
  5.125821266       1.0000      1.00000E-03   45.000    
  5.149792543       1.0000      1.00000E-03   45.000    
  5.169222995       1.0000      1.00000E-03   45.000    
  5.188945410       1.0000      1.00000E-03   45.000    
  5.207136412       1.0000      1.00000E-03   45.000    
  5.225565451       1.0000      1.00000E-03   45.000    
  5.243693694       1.0000      1.00000E-03   45.000    
  5.262224368       1.0000      1.00000E-03   45.000    
  5.281870192       1.0000      1.00000E-03   45.000    
  5.303332978       1.0000      1.00000E-03   45.000    
  5.327114067       1.0000      1.00000E-03   45.000    
  5.353775990       1.0000      1.00000E-03   45.000    
  5.384294424       1.0000      1.00000E-03   45.000    
  5.419694225       1.0000      1.00000E-03   45.000    
  5.461760219       1.0000      1.00000E-03   45.000    
  5.512994683       1.0000      1.00000E-03   45.000    
  5.577875619       1.0000      1.00000E-03   45.000    
  5.662925407       1.0000      1.00000E-03   45.000    
  5.784120990       1.0000      1.00000E-03   45.000    
  5.968684667       1.0000      1.00000E-03   45.000    
  5.999999999       1.0000      1.00000E-03   45.000    
  6.000000001       1.0000      1.00000E-03   45.000    
  6.030692671       1.0000      1.00000E-03   45.000    
  6.061385340       1.0000      1.00000E-03   45.000    
  6.122770679       1.0000      1.00000E-03   45.000    
  6.245541357       1.0000      1.00000E-03   45.000    
  6.491082712       1.0000      1.00000E-03   45.000    
  6.581254047       1.0000      1.00000E-03   45.000    
  6.581254050       1.0000      1.00000E-03   45.000    
  6.777687134       1.0000      1.00000E-03   45.000    
  6.974120218       1.0000      1.00000E-03   45.000    
  6.999999999       1.0000      1.00000E-03   45.000    
  7.000000004       1.0000      1.00000E-03   45.000    
  7.031429298       1.0000      1.00000E-03   45.000    
  7.062858591       1.0000      1.00000E-03   45.000    
  7.093514613       1.0000      1.00000E-03   45.000    
  7.124019456       1.0000      1.00000E-03   45.000    
  7.161556697       1.0000      1.00000E-03   45.000    
  7.225392091       1.0000      1.00000E-03   45.000    
  7.298552584       1.0000      1.00000E-03   45.000    
  7.417294031       1.0000      1.00000E-03   45.000    
  7.600253738       1.0000      1.00000E-03   45.000    
  7.921132868       1.0000      1.00000E-03   45.000    
  7.999999999       1.0000      1.00000E-03   45.000    
  8.000000001       1.0000      1.00000E-03   45.000    
  8.025143436       1.0000      1.00000E-03   45.000    
  8.050286871       1.0000      1.00000E-03   45.000    
  8.100573740       1.0000      1.00000E-03   45.000    
  8.201147480       1.0000      1.00000E-03   45.000    
  8.402294958       1.0000      1.00000E-03   45.000    
  8.804589914       1.0000      1.00000E-03   45.000    
  8.999999999       1.0000      1.00000E-03   45.000    
  9.000000001       1.0000      1.00000E-03   45.000    
  9.321835966       1.0000      1.00000E-03   45.000    
  9.643671931       1.0000      1.00000E-03   45.000    
  9.999999999       1.0000      1.00000E-03   45.000    
  10.00000000       1.0000      1.00000E-03   45.000    
  10.25746877       1.0000      1.00000E-03   45.000    
  10.51493755       1.0000      1.00000E-03   45.000    
  11.00000000       1.0000      1.00000E-03   45.000    
  11.00000000       1.0000      1.00000E-03   45.000    
  11.20597502       1.0000      1.00000E-03   45.000    
  11.41195004       1.0000      1.00000E-03   45.000    
  11.82390007       1.0000      1.00000E-03   45.000    
  12.00000000       1.0000      1.00000E-03   45.000    
  12.00000000       1.0000      1.00000E-03   45.000    
  12.12532242       1.0000      1.00000E-03   45.000    
  12.25064484       1.0000      1.00000E-03   45.000    
  12.26190614       1.0000      1.00000E-03   45.000    
  12.28442873       1.0000      1.00000E-03   45.000    
  12.28442873       1.0000      1.00000E-03   45.000    
  12.38468667       1.0000      1.00000E-03   45.000    
  12.48494460       1.0000      1.00000E-03   45.000    
  12.68546048       1.0000      1.00000E-03   45.000    
  13.00000000       1.0000      1.00000E-03   45.000    
  13.00000000       1.0000      1.00000E-03   45.000    
  13.16041270       1.0000      1.00000E-03   45.000    
  13.32082540       1.0000      1.00000E-03   45.000    
  13.59969624       1.0000      1.00000E-03   45.000    
  13.59969624       1.0000      1.00000E-03   45.000    
  13.72802640       1.0000      1.00000E-03   45.000    
  13.85635656       1.0000      1.00000E-03   45.000    
  14.00000000       1.0000      1.00000E-03   45.000    
  14.00000000       1.0000      1.00000E-03   45.000    
  14.10266413       1.0000      1.00000E-03   45.000    
  14.20532826       1.0000      1.00000E-03   45.000    
  14.41065651       1.0000      1.00000E-03   45.000    
  14.54000000       1.0000      1.00000E-03   45.000    
  14.54000000       1.0000      1.00000E-03   45.000    
  14.70426261       1.0000      1.00000E-03   45.000    
  14.86852521       1.0000      1.00000E-03   45.000    
  15.00000000       1.0000      1.00000E-03   45.000    
  15.00000000       1.0000      1.00000E-03   45.000    
  15.08000000       1.0000      1.00000E-03   45.000    
