#      time         order        t            tair         tout      
  4679.000000       1.0000       17.000       15.297       21.240    
  4679.400000       1.0000       17.000       14.951       21.186    
  4679.800000       1.0000       17.000       14.605       21.132    
  4680.000000       1.0000       17.000       14.432       21.106    
  4680.000000       1.0000       17.000       14.434       21.106    
  4680.002746       1.0000       17.000       14.432       21.105    
  4680.005491       1.0000       17.000       14.429       21.105    
  4680.007168       1.0000       17.000       14.428       21.105    
  4680.007168       1.0000       17.000       14.428       21.105    
  4680.009364       1.0000       17.000       14.427       21.104    
  4680.011560       1.0000       17.000       14.425       21.104    
  4680.015953       1.0000       17.000       14.423       21.103    
  4680.024739       1.0000       17.000       14.418       21.102    
  4680.042311       1.0000       17.000       14.408       21.100    
  4680.077454       1.0000       17.000       14.387       21.095    
  4680.147740       1.0000       17.000       14.347       21.086    
  4680.288312       1.0000       17.000       14.266       21.068    
  4680.569457       1.0000       17.000       14.104       21.031    
  4680.677689       1.0000       17.000       14.042       21.017    
  4680.677689       1.0000       17.000       14.042       21.017    
  4680.726387       1.0000       17.000       14.014       21.010    
  4680.775084       1.0000       17.000       13.986       21.004    
  4680.872480       1.0000       17.000       13.929       20.991    
  4681.000000       1.0000       17.000       13.856       20.975    
  4681.000000       1.0000       17.000       13.856       20.975    
  4681.077916       1.0000       17.000       13.821       20.965    
  4681.155832       1.0000       17.000       13.788       20.955    
  4681.311665       1.0000       17.000       13.720       20.935    
  4681.623329       1.0000       17.000       13.586       20.896    
  4682.000000       1.0000       17.000       13.423       20.848    
  4682.000000       1.0000       17.000       13.423       20.848    
  4682.249332       1.0000       17.000       13.315       20.817    
  4682.498664       1.0000       17.000       13.208       20.786    
  4682.997327       1.0000       17.000       12.992       20.723    
  4683.000000       1.0000       17.000       12.991       20.722    
  4683.000000       1.0000       17.000       12.991       20.722    
  4683.398931       1.0000       17.000       12.875       20.673    
  4683.797862       1.0000       17.000       12.760       20.661    
  4684.000000       1.0000       17.000       12.702       20.662    
  4684.000000       1.0000       17.000       12.702       20.662    
  4684.006383       1.0000       17.000       12.700       20.662    
  4684.012766       1.0000       17.000       12.702       20.662    
  4684.023176       1.0000       17.000       12.705       20.662    
  4684.035077       1.0000       17.000       12.708       20.661    
  4684.052703       1.0000       17.000       12.713       20.660    
  4684.076841       1.0000       17.000       12.720       20.659    
  4684.097822       1.0000       17.000       12.726       20.658    
  4684.120551       1.0000       17.000       12.733       20.657    
  4684.139473       1.0000       17.000       12.738       20.657    
  4684.158205       1.0000       17.000       12.744       20.657    
  4684.175485       1.0000       17.000       12.749       20.657    
  4684.192669       1.0000       17.000       12.753       20.657    
  4684.209402       1.0000       17.000       12.758       20.657    
  4684.226201       1.0000       17.000       12.763       20.658    
  4684.243406       1.0000       17.000       12.768       20.658    
  4684.262049       1.0000       17.000       12.773       20.659    
  4684.282280       1.0000       17.000       12.779       20.660    
  4684.304645       1.0000       17.000       12.786       20.661    
  4684.329681       1.0000       17.000       12.793       20.662    
  4684.358057       1.0000       17.000       12.801       20.664    
  4684.390755       1.0000       17.000       12.811       20.666    
  4684.429120       1.0000       17.000       12.822       20.668    
  4684.475262       1.0000       17.000       12.835       20.671    
  4684.532385       1.0000       17.000       12.851       20.674    
  4684.606075       1.0000       17.000       12.873       20.677    
  4684.606075       1.0000       17.000       12.873       20.677    
  4684.614403       1.0000       17.000       12.875       20.678    
  4684.622731       1.0000       17.000       12.877       20.678    
  4684.639386       1.0000       17.000       12.882       20.679    
  4684.672697       1.0000       17.000       12.892       20.680    
  4684.739319       1.0000       17.000       12.911       20.682    
  4684.872564       1.0000       17.000       12.949       20.687    
  4685.000000       1.0000       17.000       12.986       20.693    
  4685.000000       1.0000       17.000       12.986       20.693    
  4685.106596       1.0000       17.000       13.088       20.702    
  4685.213191       1.0000       17.000       13.196       20.713    
  4685.426382       1.0000       17.000       13.411       20.751    
  4685.829970       1.0000       17.000       13.818       20.880    
  4686.000000       1.0000       17.000       13.989       20.950    
  4686.000000       1.0000       17.000       13.989       20.950    
  4686.034111       1.0000       17.000       14.063       20.965    
  4686.068221       1.0000       17.000       14.146       21.083    
  4686.102458       1.0000       17.000       14.230       21.214    
  4686.113461       1.0000       17.000       14.257       21.251    
  4686.135467       1.0000       17.000       14.311       21.294    
  4686.173404       1.0000       17.000       14.404       21.303    
  4686.185629       1.0000       17.000       14.433       21.301    
  4686.210081       1.0000       17.000       14.493       21.291    
  4686.258985       1.0000       17.000       14.613       21.292    
  4686.278546       1.0000       17.000       14.661       21.296    
  4686.317669       1.0000       17.000       14.757       21.309    
  4686.333318       1.0000       17.000       14.795       21.315    
  4686.364616       1.0000       17.000       14.872       21.324    
  4686.377136       1.0000       17.000       14.902       21.328    
  4686.402174       1.0000       17.000       14.964       21.334    
  4686.452251       1.0000       17.000       15.086       21.346    
  4686.472282       1.0000       17.000       15.135       21.351    
  4686.512344       1.0000       17.000       15.233       21.361    
  4686.528369       1.0000       17.000       15.272       21.365    
  4686.560418       1.0000       17.000       15.351       21.373    
  4686.573238       1.0000       17.000       15.382       21.377    
  4686.598878       1.0000       17.000       15.445       21.383    
  4686.650157       1.0000       17.000       15.571       21.395    
  4686.752715       1.0000       17.000       15.822       21.419    
  4686.957831       1.0000       17.000       16.324       21.469    
  4686.958056       1.0000       17.145       16.324       21.469    
  4686.958056       1.0000       17.010       16.324       21.469    
  4686.965333       1.0000       17.010       16.342       21.471    
  4686.972610       1.0000       17.010       16.360       21.473    
  4686.987164       1.0000       17.010       16.396       21.476    
  4687.000000       1.0000       17.010       16.427       21.479    
  4687.000000       1.0000       17.010       16.427       21.479    
  4687.011643       1.0000       17.010       16.457       21.482    
  4687.023286       1.0000       17.010       16.489       21.484    
  4687.046572       1.0000       17.010       16.552       21.489    
  4687.093144       1.0000       17.010       16.680       21.498    
  4687.111044       1.0000       17.010       16.729       21.501    
  4687.118204       1.0000       17.010       16.748       21.502    
  4687.132525       1.0000       17.010       16.788       21.505    
  4687.138253       1.0000       17.010       16.803       21.506    
  4687.149709       1.0000       17.010       16.835       21.507    
  4687.172621       1.0000       17.010       16.897       21.510    
  4687.218445       1.0000       17.010       17.023       21.516    
  4687.266413       1.0000       17.010       17.154       21.522    
  4687.325406       1.0000       17.010       17.315       21.529    
  4687.389614       1.0000       17.010       17.491       21.536    
  4687.468798       1.0000       17.010       17.708       21.545    
  4687.575177       1.0000       17.010       17.999       21.558    
  4687.699872       1.0000       17.010       18.340       21.573    
  4687.853224       1.0000       17.010       18.759       21.592    
  4687.986302       1.0000       17.010       19.124       21.608    
  4688.000000       1.0000       17.010       19.161       21.610    
  4688.000000       1.0000       17.010       19.161       21.610    
  4688.037258       1.0000       17.010       19.254       21.615    
  4688.074515       1.0000       17.010       19.345       21.620    
  4688.149031       1.0000       17.010       19.528       21.629    
  4688.149031       1.0000       17.010       19.528       21.629    
  4688.178837       1.0000       17.010       19.601       21.633    
  4688.208643       1.0000       17.010       19.674       21.637    
  4688.268256       1.0000       17.010       19.820       21.645    
  4688.387480       1.0000       17.010       20.112       21.660    
  4688.387480       1.0000       17.010       20.112       21.660    
  4688.435170       1.0000       17.010       20.228       21.666    
  4688.482860       1.0000       17.010       20.345       21.672    
  4688.578240       1.0000       17.010       20.579       21.684    
  4688.768999       1.0000       17.010       21.046       21.709    
  4689.000000       1.0000       17.010       21.611       21.739    
  4689.000000       1.0000       17.010       21.611       21.739    
  4689.024840       1.0000       17.010       21.667       21.742    
  4689.049681       1.0000       17.010       21.720       21.746    
  4689.099362       1.0000       17.010       21.828       21.752    
  4689.099362       1.0000       17.010       21.828       21.752    
  4689.119234       1.0000       17.010       21.871       21.755    
  4689.139107       1.0000       17.010       21.914       21.757    
  4689.178851       1.0000       17.010       21.999       21.763    
  4689.258341       1.0000       17.010       22.171       21.773    
  4689.417320       1.0000       17.010       22.514       21.794    
  4689.676495       1.0000       17.010       23.074       21.828    
  4690.000000       1.0000       17.010       23.773       21.870    
  4690.000000       1.0000       17.010       23.773       21.870    
  4690.127183       1.0000       17.010       23.961       21.887    
  4690.254366       1.0000       17.010       24.144       21.903    
  4690.508733       1.0000       17.010       24.511       21.934    
  4690.888597       1.0000       17.010       25.058       21.979    
  4690.888597       1.0000       17.010       25.058       21.979    
  4690.944298       1.0000       17.010       25.138       21.985    
  4691.000000       1.0000       17.010       25.218       21.991    
  4691.000000       1.0000       17.010       25.218       21.991    
  4691.044561       1.0000       17.010       25.271       21.997    
  4691.089123       1.0000       17.010       25.323       22.002    
  4691.178245       1.0000       17.010       25.425       22.012    
  4691.356490       1.0000       17.010       25.631       22.031    
  4691.712980       1.0000       17.010       26.041       22.068    
  4692.000000       1.0000       17.010       26.372       22.097    
  4692.000000       1.0000       17.010       26.372       22.097    
  4692.285192       1.0000       17.010       26.580       22.134    
  4692.570384       1.0000       17.010       26.786       22.169    
  4693.000000       1.0000       17.010       27.095       22.224    
  4693.000000       1.0000       17.010       27.095       22.224    
  4693.228154       1.0000       17.010       27.100       22.252    
  4693.456307       1.0000       17.010       27.100       22.281    
  4693.912615       1.0000       17.010       27.100       22.337    
  4694.000000       1.0000       17.010       27.100       22.348    
  4694.000000       1.0000       17.010       27.100       22.348    
  4694.365046       1.0000       17.010       26.791       22.387    
  4694.730092       1.0000       17.010       26.475       22.423    
  4695.000000       1.0000       17.010       26.242       22.447    
  4695.000000       1.0000       17.010       26.242       22.447    
  4695.292037       1.0000       17.010       25.908       22.470    
  4695.584073       1.0000       17.010       25.571       22.490    
  4696.000000       1.0000       17.010       25.092       22.506    
  4696.000000       1.0000       17.010       25.092       22.506    
  4696.026105       1.0000       17.010       25.056       22.507    
  4696.052211       1.0000       17.010       25.019       22.507    
  4696.104422       1.0000       17.010       24.944       22.506    
  4696.104422       1.0000       17.010       24.944       22.506    
  4696.125306       1.0000       17.010       24.914       22.506    
  4696.146190       1.0000       17.010       24.883       22.505    
  4696.187959       1.0000       17.010       24.823       22.503    
  4696.271496       1.0000       17.010       24.703       22.496    
  4696.438571       1.0000       17.010       24.462       22.470    
  4696.772720       1.0000       17.010       23.981       22.377    
  4697.000000       1.0000       17.010       23.654       22.306    
  4697.000000       1.0000       17.010       23.654       22.306    
  4697.005484       1.0000       17.010       23.646       22.303    
  4697.010968       1.0000       17.010       23.635       22.301    
  4697.015390       1.0000       17.010       23.626       22.299    
  4697.020624       1.0000       17.010       23.614       22.296    
  4697.026095       1.0000       17.010       23.603       22.294    
  4697.032691       1.0000       17.010       23.588       22.291    
  4697.040669       1.0000       17.010       23.571       22.287    
  4697.051837       1.0000       17.010       23.547       22.282    
  4697.066336       1.0000       17.010       23.516       22.275    
  4697.083964       1.0000       17.010       23.478       22.267    
  4697.099858       1.0000       17.010       23.443       22.259    
  4697.117901       1.0000       17.010       23.404       22.251    
  4697.136382       1.0000       17.010       23.364       22.242    
  4697.157403       1.0000       17.010       23.319       22.232    
  4697.180516       1.0000       17.010       23.269       22.221    
  4697.207166       1.0000       17.010       23.211       22.207    
  4697.237854       1.0000       17.010       23.145       22.191    
  4697.274264       1.0000       17.010       23.067       22.174    
  4697.318177       1.0000       17.010       22.972       22.154    
  4697.372883       1.0000       17.010       22.854       22.129    
  4697.443486       1.0000       17.010       22.701       22.101    
  4697.539417       1.0000       17.010       22.494       22.065    
  4697.679040       1.0000       17.010       22.192       22.020    
  4697.810017       1.0000       17.010       21.909       21.982    
  4697.810017       1.0000       17.010       21.909       21.982    
  4697.813554       1.0000       17.010       21.902       21.981    
  4697.817092       1.0000       17.010       21.894       21.980    
  4697.824168       1.0000       17.010       21.879       21.978    
  4697.838319       1.0000       17.010       21.848       21.974    
  4697.866621       1.0000       17.010       21.787       21.967    
  4697.923225       1.0000       17.010       21.665       21.954    
  4698.000000       1.0000       17.010       21.499       21.937    
  4698.000000       1.0000       17.010       21.499       21.937    
  4698.045283       1.0000       17.010       21.423       21.928    
  4698.090567       1.0000       17.010       21.352       21.921    
  4698.181133       1.0000       17.010       21.208       21.907    
  4698.362266       1.0000       17.010       20.921       21.887    
  4698.643955       1.0000       17.010       20.475       21.859    
  4698.983799       1.0000       17.010       19.937       21.827    
  4698.983799       1.0000       17.010       19.937       21.827    
  4698.991899       1.0000       17.010       19.924       21.827    
  4699.000000       1.0000       17.010       19.911       21.826    
  4699.000000       1.0000       17.010       19.911       21.826    
  4699.006480       1.0000       17.010       19.901       21.825    
  4699.012961       1.0000       17.010       19.892       21.825    
  4699.025922       1.0000       17.010       19.875       21.823    
  4699.051844       1.0000       17.010       19.842       21.821    
  4699.103687       1.0000       17.010       19.775       21.816    
  4699.207374       1.0000       17.010       19.640       21.806    
  4699.414749       1.0000       17.010       19.371       21.786    
  4699.798068       1.0000       17.010       18.875       21.733    
  4700.000000       1.0000       17.010       18.613       21.709    
  4700.000000       1.0000       17.010       18.613       21.709    
  4700.165899       1.0000       17.010       18.398       21.682    
  4700.331799       1.0000       17.010       18.183       21.648    
  4700.663598       1.0000       17.010       17.753       21.577    
  4701.000000       1.0000       17.010       17.317       21.517    
  4701.000000       1.0000       17.010       17.317       21.517    
  4701.265439       1.0000       17.010       17.047       21.474    
  4701.530878       1.0000       17.010       16.780       21.435    
  4701.842919       1.0000       17.010       16.465       21.390    
  4701.842919       1.0000       17.010       16.465       21.390    
  4701.921460       1.0000       17.010       16.386       21.379    
  4702.000000       1.0000       17.010       16.307       21.369    
  4702.000000       1.0000       17.010       16.307       21.369    
  4702.062832       1.0000       17.010       16.244       21.360    
  4702.125665       1.0000       17.010       16.180       21.351    
  4702.251329       1.0000       17.010       16.054       21.334    
  4702.320977       1.0000       17.010       15.983       21.325    
  4702.320977       1.0000       16.984       15.983       21.325    
  4702.421509       1.0000       17.000       15.882       21.311    
  4702.522040       1.0000       17.000       15.781       21.297    
  4702.648061       1.0000       17.000       15.654       21.279    
  4702.806394       1.0000       17.000       15.494       21.258    
  4703.000000       1.0000       17.000       15.299       21.232    
