#      time         order        tair      
  0.000000000       1.0000      -7.2000    
 0.4000000000       1.0000      -7.2000    
 0.8000000000       1.0000      -7.2000    
 0.9999999986       1.0000      -7.2000    
  1.000000001       1.0000      -7.2000    
  1.320000001       1.0000      -7.0400    
  1.640000001       1.0000      -6.8800    
  1.999999999       1.0000      -6.7000    
  2.000000001       1.0000      -6.7000    
  2.256000001       1.0000      -6.7256    
  2.512000001       1.0000      -6.7512    
  2.999999999       1.0000      -6.8000    
  3.000000001       1.0000      -6.8000    
  3.204800001       1.0000      -6.9024    
  3.409600001       1.0000      -7.0048    
  3.819200001       1.0000      -7.2096    
  3.999999999       1.0000      -7.3000    
  4.000000001       1.0000      -7.3000    
  4.327680001       1.0000      -7.2672    
  4.655360001       1.0000      -7.2345    
  4.999999999       1.0000      -7.2000    
  5.000000001       1.0000      -7.2000    
  5.038365841       1.0000      -7.1923    
  5.076731680       1.0000      -7.1847    
  5.104449601       1.0000      -7.1791    
  5.125821270       1.0000      -7.1748    
  5.149792548       1.0000      -7.1700    
  5.169223001       1.0000      -7.1662    
  5.188945417       1.0000      -7.1622    
  5.207136420       1.0000      -7.1586    
  5.225565462       1.0000      -7.1549    
  5.243693706       1.0000      -7.1513    
  5.262224383       1.0000      -7.1476    
  5.281870208       1.0000      -7.1436    
  5.303332996       1.0000      -7.1393    
  5.327114087       1.0000      -7.1346    
  5.353776012       1.0000      -7.1292    
  5.384294449       1.0000      -7.1231    
  5.419694254       1.0000      -7.1161    
  5.461760254       1.0000      -7.1076    
  5.512994726       1.0000      -7.0974    
  5.577875673       1.0000      -7.0844    
  5.662925479       1.0000      -7.0674    
  5.784121095       1.0000      -7.0432    
  5.968684835       1.0000      -7.0063    
  5.999999999       1.0000      -7.0000    
  6.000000001       1.0000      -7.0000    
  6.030692673       1.0000      -7.0430    
  6.061385344       1.0000      -7.0859    
  6.122770687       1.0000      -7.1719    
  6.245541373       1.0000      -7.3438    
  6.491082745       1.0000      -7.6875    
  6.581203064       1.0000      -7.8137    
  6.581203067       1.0000      -7.8137    
  6.777636164       1.0000      -8.0887    
  6.974069262       1.0000      -8.3637    
  6.999999999       1.0000      -8.4000    
  7.000000004       1.0000      -8.4000    
  7.031429300       1.0000      -8.3749    
  7.062858595       1.0000      -8.3497    
  7.093513804       1.0000      -8.3252    
  7.124019475       1.0000      -8.3008    
  7.161555777       1.0000      -8.2708    
  7.225387438       1.0000      -8.2197    
  7.298545143       1.0000      -8.1612    
  7.417281081       1.0000      -8.0662    
  7.600244584       1.0000      -7.9198    
  7.921101936       1.0000      -7.6631    
  7.999999999       1.0000      -7.6000    
  8.000000001       1.0000      -7.6000    
  8.025143438       1.0000      -7.5598    
  8.050286874       1.0000      -7.5195    
  8.100573747       1.0000      -7.4391    
  8.201147493       1.0000      -7.2782    
  8.402294985       1.0000      -6.9563    
  8.804589968       1.0000      -6.3127    
  8.999999999       1.0000      -6.0000    
  9.000000001       1.0000      -6.0000    
  9.321835988       1.0000      -5.6782    
  9.643671975       1.0000      -5.3563    
  9.999999999       1.0000      -5.0000    
  10.00000000       1.0000      -5.0000    
  10.25746879       1.0000      -4.6138    
  10.51493758       1.0000      -4.2276    
  11.00000000       1.0000      -3.5000    
  11.00000000       1.0000      -3.5000    
  11.20597503       1.0000      -3.2322    
  11.41195006       1.0000      -2.9645    
  11.82390013       1.0000      -2.4289    
  12.00000000       1.0000      -2.2000    
  12.00000000       1.0000      -2.2000    
  12.12532241       1.0000      -1.9744    
  12.25064482       1.0000      -1.7488    
  12.26190611       1.0000      -1.7286    
  12.28442870       1.0000      -1.6880    
  12.28442870       1.0000      -1.6880    
  12.38468663       1.0000      -1.5076    
  12.48494456       1.0000      -1.3271    
  12.68546041       1.0000     -0.96617    
  13.00000000       1.0000     -0.40000    
  13.00000000       1.0000     -0.40000    
  13.16041269       1.0000     -0.35188    
  13.32082537       1.0000     -0.30375    
  13.59969624       1.0000     -0.22009    
  13.59969624       1.0000     -0.22009    
  13.72802639       1.0000     -0.18159    
  13.85635654       1.0000     -0.14309    
  14.00000000       1.0000     -0.10000    
  14.00000000       1.0000     -0.10000    
  14.10266412       1.0000     -7.94672E-02
  14.20532824       1.0000     -5.89344E-02
  14.41065647       1.0000     -1.78687E-02
  14.54000000       1.0000      8.00000E-03
  14.54000000       1.0000      8.00000E-03
  14.70426259       1.0000      4.08525E-02
  14.86852518       1.0000      7.37050E-02
  15.00000000       1.0000      0.10000    
  15.00000000       1.0000      0.10000    
  15.08000000       1.0000      6.00000E-02
  15.16000000       1.0000      2.00000E-02
  15.24000000       1.0000     -2.00000E-02
  15.24000000       1.0000     -2.00000E-02
  15.30400000       1.0000     -5.20000E-02
  15.36800000       1.0000     -8.40000E-02
  15.49600000       1.0000     -0.14800    
  15.75200000       1.0000     -0.27600    
  16.00000000       1.0000     -0.40000    
  16.00000000       1.0000     -0.40000    
  16.20480000       1.0000     -0.35904    
  16.40960000       1.0000     -0.31808    
  16.81920000       1.0000     -0.23616    
  17.00000000       1.0000     -0.20000    
  17.00000000       1.0000     -0.20000    
  17.32768000       1.0000     -0.20000    
  17.65536000       1.0000     -0.20000    
  18.00000000       1.0000     -0.20000    
  18.00000000       1.0000     -0.20000    
  18.05242880       1.0000     -0.21049    
  18.10485760       1.0000     -0.22097    
  18.12987446       1.0000     -0.22597    
  18.15365270       1.0000     -0.23073    
  18.17892365       1.0000     -0.23578    
  18.20540730       1.0000     -0.24108    
  18.23523749       1.0000     -0.24705    
  18.26889946       1.0000     -0.25378    
  18.30828535       1.0000     -0.26166    
