#      time         order        t            tair         tout      
  4679.000000       1.0000       17.000       15.297       21.408    
  4679.400000       1.0000       17.000       14.951       21.355    
  4679.800000       1.0000       17.000       14.605       21.303    
  4680.000000       1.0000       17.000       14.432       21.276    
  4680.000000       1.0000       17.000       14.434       21.276    
  4680.002746       1.0000       17.000       14.432       21.276    
  4680.005491       1.0000       17.000       14.429       21.276    
  4680.007168       1.0000       17.000       14.428       21.275    
  4680.007168       1.0000       17.000       14.428       21.275    
  4680.009364       1.0000       17.000       14.427       21.275    
  4680.011560       1.0000       17.000       14.425       21.275    
  4680.015953       1.0000       17.000       14.423       21.274    
  4680.024739       1.0000       17.000       14.418       21.273    
  4680.042311       1.0000       17.000       14.408       21.271    
  4680.077454       1.0000       17.000       14.387       21.266    
  4680.147740       1.0000       17.000       14.347       21.257    
  4680.288312       1.0000       17.000       14.266       21.239    
  4680.569457       1.0000       17.000       14.104       21.203    
  4680.676913       1.0000       17.000       14.042       21.189    
  4680.676913       1.0000       17.000       14.042       21.189    
  4680.725999       1.0000       17.000       14.014       21.183    
  4680.775084       1.0000       17.000       13.986       21.176    
  4680.873255       1.0000       17.000       13.929       21.164    
  4681.000000       1.0000       17.000       13.856       21.147    
  4681.000000       1.0000       17.000       13.856       21.147    
  4681.078537       1.0000       17.000       13.821       21.138    
  4681.157073       1.0000       17.000       13.787       21.128    
  4681.314147       1.0000       17.000       13.719       21.108    
  4681.628294       1.0000       17.000       13.584       21.068    
  4682.000000       1.0000       17.000       13.423       21.022    
  4682.000000       1.0000       17.000       13.423       21.022    
  4682.251318       1.0000       17.000       13.314       20.991    
  4682.502635       1.0000       17.000       13.206       20.959    
  4683.000000       1.0000       17.000       12.991       20.897    
  4683.000000       1.0000       17.000       12.991       20.897    
  4683.201054       1.0000       17.000       12.932       20.872    
  4683.402108       1.0000       17.000       12.874       20.847    
  4683.804216       1.0000       17.000       12.758       20.835    
  4684.000000       1.0000       17.000       12.702       20.836    
  4684.000000       1.0000       17.000       12.702       20.836    
  4684.006434       1.0000       17.000       12.700       20.836    
  4684.012867       1.0000       17.000       12.702       20.836    
  4684.023281       1.0000       17.000       12.705       20.836    
  4684.035208       1.0000       17.000       12.708       20.835    
  4684.052861       1.0000       17.000       12.713       20.834    
  4684.076880       1.0000       17.000       12.720       20.833    
  4684.097778       1.0000       17.000       12.726       20.832    
  4684.120423       1.0000       17.000       12.733       20.831    
  4684.139275       1.0000       17.000       12.738       20.830    
  4684.157926       1.0000       17.000       12.743       20.830    
  4684.175122       1.0000       17.000       12.748       20.830    
  4684.192204       1.0000       17.000       12.753       20.830    
  4684.208820       1.0000       17.000       12.758       20.830    
  4684.225480       1.0000       17.000       12.763       20.831    
  4684.242636       1.0000       17.000       12.768       20.831    
  4684.261189       1.0000       17.000       12.773       20.832    
  4684.281348       1.0000       17.000       12.779       20.833    
  4684.303612       1.0000       17.000       12.785       20.834    
  4684.328532       1.0000       17.000       12.793       20.835    
  4684.356756       1.0000       17.000       12.801       20.836    
  4684.389260       1.0000       17.000       12.810       20.838    
  4684.427364       1.0000       17.000       12.821       20.840    
  4684.473144       1.0000       17.000       12.834       20.843    
  4684.529743       1.0000       17.000       12.851       20.846    
  4684.602625       1.0000       17.000       12.872       20.848    
  4684.602625       1.0000       17.000       12.872       20.848    
  4684.610956       1.0000       17.000       12.874       20.849    
  4684.619287       1.0000       17.000       12.876       20.849    
  4684.635950       1.0000       17.000       12.881       20.850    
  4684.669274       1.0000       17.000       12.891       20.851    
  4684.735923       1.0000       17.000       12.910       20.853    
  4684.869222       1.0000       17.000       12.948       20.857    
  4685.000000       1.0000       17.000       12.986       20.863    
  4685.000000       1.0000       17.000       12.986       20.863    
  4685.106639       1.0000       17.000       13.089       20.874    
  4685.213277       1.0000       17.000       13.196       20.888    
  4685.426554       1.0000       17.000       13.411       20.935    
  4685.756748       1.0000       17.000       13.744       21.064    
  4686.000000       1.0000       17.000       13.989       21.199    
  4686.000000       1.0000       17.000       13.989       21.199    
  4686.034124       1.0000       17.000       14.063       21.219    
  4686.068249       1.0000       17.000       14.146       21.291    
  4686.077952       1.0000       17.000       14.170       21.324    
  4686.097358       1.0000       17.000       14.217       21.405    
  4686.136170       1.0000       17.000       14.312       21.488    
  4686.181830       1.0000       17.000       14.424       21.506    
  4686.196032       1.0000       17.000       14.459       21.506    
  4686.224435       1.0000       17.000       14.528       21.503    
  4686.235797       1.0000       17.000       14.556       21.503    
  4686.258519       1.0000       17.000       14.612       21.506    
  4686.303965       1.0000       17.000       14.723       21.526    
  4686.322143       1.0000       17.000       14.768       21.535    
  4686.358499       1.0000       17.000       14.857       21.551    
  4686.373041       1.0000       17.000       14.892       21.557    
  4686.402126       1.0000       17.000       14.963       21.569    
  4686.413760       1.0000       17.000       14.992       21.573    
  4686.437028       1.0000       17.000       15.049       21.581    
  4686.483564       1.0000       17.000       15.163       21.597    
  4686.576636       1.0000       17.000       15.391       21.632    
  4686.613865       1.0000       17.000       15.482       21.646    
  4686.688322       1.0000       17.000       15.664       21.673    
  4686.837237       1.0000       17.000       16.029       21.723    
  4686.847164       1.0000       17.051       16.053       21.726    
  4686.847164       1.0000       17.010       16.053       21.726    
  4686.874463       1.0000       17.010       16.120       21.736    
  4686.901763       1.0000       17.010       16.187       21.746    
  4686.956362       1.0000       17.010       16.320       21.763    
  4687.000000       1.0000       17.010       16.427       21.776    
  4687.000000       1.0000       17.010       16.427       21.776    
  4687.043679       1.0000       17.010       16.545       21.787    
  4687.087358       1.0000       17.010       16.664       21.798    
  4687.150293       1.0000       17.010       16.836       21.810    
  4687.203309       1.0000       17.010       16.981       21.819    
  4687.266602       1.0000       17.010       17.154       21.829    
  4687.330669       1.0000       17.010       17.330       21.838    
  4687.407310       1.0000       17.010       17.539       21.849    
  4687.426106       1.0000       17.010       17.591       21.851    
  4687.463698       1.0000       17.010       17.694       21.856    
  4687.478735       1.0000       17.010       17.735       21.858    
  4687.508809       1.0000       17.010       17.817       21.861    
  4687.520838       1.0000       17.010       17.850       21.863    
  4687.544897       1.0000       17.010       17.916       21.866    
  4687.593015       1.0000       17.010       18.048       21.872    
  4687.689251       1.0000       17.010       18.311       21.883    
  4687.822690       1.0000       17.010       18.676       21.900    
  4687.951402       1.0000       17.010       19.028       21.916    
  4688.000000       1.0000       17.010       19.161       21.923    
  4688.000000       1.0000       17.010       19.161       21.923    
  4688.050348       1.0000       17.010       19.286       21.929    
  4688.100696       1.0000       17.010       19.410       21.936    
  4688.201392       1.0000       17.010       19.656       21.949    
  4688.201392       1.0000       17.010       19.656       21.949    
  4688.241670       1.0000       17.010       19.755       21.955    
  4688.281949       1.0000       17.010       19.853       21.960    
  4688.362505       1.0000       17.010       20.050       21.971    
  4688.362505       1.0000       17.010       20.050       21.971    
  4688.394728       1.0000       17.010       20.129       21.975    
  4688.426951       1.0000       17.010       20.208       21.979    
  4688.491396       1.0000       17.010       20.366       21.988    
  4688.620287       1.0000       17.010       20.681       22.005    
  4688.878068       1.0000       17.010       21.313       22.038    
  4689.000000       1.0000       17.010       21.611       22.053    
  4689.000000       1.0000       17.010       21.611       22.053    
  4689.086572       1.0000       17.010       21.800       22.064    
  4689.173145       1.0000       17.010       21.987       22.075    
  4689.189801       1.0000       17.010       22.023       22.077    
  4689.223112       1.0000       17.010       22.095       22.081    
  4689.223112       1.0000       17.010       22.095       22.081    
  4689.292370       1.0000       17.010       22.245       22.090    
  4689.361628       1.0000       17.010       22.394       22.099    
  4689.500144       1.0000       17.010       22.693       22.117    
  4689.777176       1.0000       17.010       23.292       22.152    
  4690.000000       1.0000       17.010       23.773       22.180    
  4690.000000       1.0000       17.010       23.773       22.180    
  4690.221626       1.0000       17.010       24.097       22.207    
  4690.443251       1.0000       17.010       24.416       22.233    
  4690.886502       1.0000       17.010       25.055       22.285    
  4690.886502       1.0000       17.010       25.055       22.285    
  4690.943251       1.0000       17.010       25.136       22.291    
  4691.000000       1.0000       17.010       25.218       22.298    
  4691.000000       1.0000       17.010       25.218       22.298    
  4691.045399       1.0000       17.010       25.272       22.303    
  4691.090798       1.0000       17.010       25.325       22.308    
  4691.181596       1.0000       17.010       25.429       22.318    
  4691.363193       1.0000       17.010       25.638       22.338    
  4691.726385       1.0000       17.010       26.057       22.377    
  4692.000000       1.0000       17.010       26.372       22.406    
  4692.000000       1.0000       17.010       26.372       22.406    
  4692.290554       1.0000       17.010       26.584       22.445    
  4692.581108       1.0000       17.010       26.793       22.484    
  4693.000000       1.0000       17.010       27.095       22.543    
  4693.000000       1.0000       17.010       27.095       22.543    
  4693.232443       1.0000       17.010       27.100       22.576    
  4693.464887       1.0000       17.010       27.100       22.607    
  4693.929773       1.0000       17.010       27.100       22.669    
  4694.000000       1.0000       17.010       27.100       22.679    
  4694.000000       1.0000       17.010       27.100       22.679    
  4694.371909       1.0000       17.010       26.785       22.724    
  4694.743819       1.0000       17.010       26.463       22.766    
  4695.000000       1.0000       17.010       26.242       22.793    
  4695.000000       1.0000       17.010       26.242       22.793    
  4695.297527       1.0000       17.010       25.901       22.822    
  4695.595055       1.0000       17.010       25.558       22.848    
  4696.000000       1.0000       17.010       25.092       22.871    
  4696.000000       1.0000       17.010       25.092       22.871    
  4696.026105       1.0000       17.010       25.056       22.871    
  4696.052211       1.0000       17.010       25.019       22.872    
  4696.104422       1.0000       17.010       24.944       22.871    
  4696.104422       1.0000       17.010       24.944       22.871    
  4696.125306       1.0000       17.010       24.914       22.870    
  4696.146190       1.0000       17.010       24.883       22.869    
  4696.187959       1.0000       17.010       24.823       22.867    
  4696.271496       1.0000       17.010       24.703       22.857    
  4696.438571       1.0000       17.010       24.462       22.823    
  4696.772720       1.0000       17.010       23.981       22.698    
  4697.000000       1.0000       17.010       23.654       22.580    
  4697.000000       1.0000       17.010       23.654       22.580    
  4697.005541       1.0000       17.010       23.646       22.577    
  4697.011081       1.0000       17.010       23.635       22.574    
  4697.015515       1.0000       17.010       23.625       22.572    
  4697.020775       1.0000       17.010       23.614       22.569    
  4697.026264       1.0000       17.010       23.602       22.566    
  4697.032896       1.0000       17.010       23.588       22.563    
  4697.040928       1.0000       17.010       23.571       22.558    
  4697.052239       1.0000       17.010       23.546       22.552    
