#      time         order        room_phae1   room_phaer
  4679.000000       1.0000      1.00000E-03   45.000    
  4679.400000       1.0000      1.00000E-03   45.000    
  4679.800000       1.0000      1.00000E-03   45.000    
  4680.000000       1.0000      1.00000E-03   45.000    
  4680.000000       1.0000      1.00000E-03   45.000    
  4680.002746       1.0000      1.00000E-03   45.000    
  4680.005491       1.0000      1.00000E-03   45.000    
  4680.007168       1.0000      1.00000E-03   45.000    
  4680.007168       1.0000      1.00000E-03   45.000    
  4680.009364       1.0000      1.00000E-03   45.000    
  4680.011560       1.0000      1.00000E-03   45.000    
  4680.015953       1.0000      1.00000E-03   45.000    
  4680.024739       1.0000      1.00000E-03   45.000    
  4680.042311       1.0000      1.00000E-03   45.000    
  4680.077454       1.0000      1.00000E-03   45.000    
  4680.147740       1.0000      1.00000E-03   45.000    
  4680.288312       1.0000      1.00000E-03   45.000    
  4680.569457       1.0000      1.00000E-03   45.000    
  4680.676996       1.0000      1.00000E-03   45.000    
  4680.676996       1.0000      1.00000E-03   45.000    
  4680.726040       1.0000      1.00000E-03   45.000    
  4680.775084       1.0000      1.00000E-03   45.000    
  4680.873172       1.0000      1.00000E-03   45.000    
  4681.000000       1.0000      1.00000E-03   45.000    
  4681.000000       1.0000      1.00000E-03   45.000    
  4681.078470       1.0000      1.00000E-03   45.000    
  4681.156941       1.0000      1.00000E-03   45.000    
  4681.313881       1.0000      1.00000E-03   45.000    
  4681.627763       1.0000      1.00000E-03   45.000    
  4682.000000       1.0000      1.00000E-03   45.000    
  4682.000000       1.0000      1.00000E-03   45.000    
  4682.251105       1.0000      1.00000E-03   45.000    
  4682.502210       1.0000      1.00000E-03   45.000    
  4683.000000       1.0000      1.00000E-03   45.000    
  4683.000000       1.0000      1.00000E-03   45.000    
  4683.200884       1.0000      1.00000E-03   45.000    
  4683.401768       1.0000      1.00000E-03   45.000    
  4683.803536       1.0000      1.00000E-03   45.000    
  4684.000000       1.0000      0.99900       45.000    
  4684.000000       1.0000      0.99900       45.000    
  4684.006428       1.0000      0.99900       45.000    
  4684.012857       1.0000      0.99900       45.000    
  4684.023268       1.0000      0.99900       45.000    
  4684.035190       1.0000      0.99900       45.000    
  4684.052835       1.0000      0.99900       45.000    
  4684.076866       1.0000      0.99900       45.000    
  4684.097768       1.0000      0.99900       45.000    
  4684.120418       1.0000      0.99900       45.000    
  4684.139272       1.0000      0.99900       45.000    
  4684.157925       1.0000      0.99900       45.000    
  4684.175121       1.0000      0.99900       45.000    
  4684.192204       1.0000      0.99900       45.000    
  4684.208820       1.0000      0.99900       45.000    
  4684.225481       1.0000      0.99900       45.000    
  4684.242637       1.0000      0.99900       45.000    
  4684.261190       1.0000      0.99900       45.000    
  4684.281348       1.0000      0.99900       45.000    
  4684.303612       1.0000      0.99900       45.000    
  4684.328532       1.0000      0.99900       45.000    
  4684.356755       1.0000      0.99900       45.000    
  4684.389259       1.0000      0.99900       45.000    
  4684.427362       1.0000      0.99900       45.000    
  4684.473142       1.0000      0.99900       45.000    
  4684.529739       1.0000      0.99900       45.000    
  4684.602619       1.0000      0.99900       45.000    
  4684.602619       1.0000      0.99900       45.000    
  4684.610948       1.0000      0.99900       45.000    
  4684.619277       1.0000      0.99900       45.000    
  4684.635936       1.0000      0.99900       45.000    
  4684.669253       1.0000      0.99900       45.000    
  4684.735888       1.0000      0.99900       45.000    
  4684.869156       1.0000      0.99900       45.000    
  4685.000000       1.0000      0.99900       45.000    
  4685.000000       1.0000      0.99900       45.000    
  4685.106615       1.0000      0.99900       45.000    
  4685.213230       1.0000      0.99900       45.000    
  4685.426460       1.0000      0.99900       45.000    
  4685.756670       1.0000      0.99900       45.000    
  4686.000000       1.0000      0.99900       45.000    
  4686.000000       1.0000      0.99900       45.000    
  4686.034117       1.0000      0.99900       45.000    
  4686.068234       1.0000      0.99900       45.000    
  4686.077918       1.0000      0.99900       45.000    
  4686.097287       1.0000      0.99900       45.000    
  4686.136024       1.0000      0.99900       45.000    
  4686.181668       1.0000      0.99900       45.000    
  4686.195836       1.0000      0.99900       45.000    
  4686.224172       1.0000      0.99900       45.000    
  4686.280845       1.0000      0.99900       45.000    
  4686.388561       1.0000      0.99900       45.000    
  4686.420903       1.0000      0.99900       45.000    
  4686.485587       1.0000      0.99900       45.000    
  4686.511461       1.0000      0.99900       45.000    
